# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
55062.25387	0.35155582	1.00008	0.000312	1.018501	0.000328	0.999854	0.000312
55062.25455	0.3515724	1.000229	0.000313	1.018655	0.000329	1.000003	0.000313
55062.25523	0.35158898	1.000406	0.000313	1.018839	0.000329	1.00018	0.000313
55062.25592	0.35160556	1.000489	0.000313	1.018925	0.000329	1.000263	0.000313
55062.2566	0.35162214	1.000478	0.000313	1.018913	0.000329	1.000252	0.000313
55062.25728	0.35163872	1.000085	0.000313	1.018505	0.000329	0.999859	0.000313
55062.25796	0.35165531	1.000453	0.000313	1.018887	0.000329	1.000227	0.000313
55062.25864	0.35167189	1.000232	0.000314	1.018657	0.00033	1.000006	0.000314
55062.25932	0.35168847	0.999605	0.000314	1.018005	0.00033	0.999379	0.000314
55062.26	0.35170505	1.000224	0.000314	1.018649	0.00033	0.999998	0.000314
55062.26068	0.35172163	1.000126	0.000314	1.018547	0.00033	0.9999	0.000314
55062.26136	0.35173821	1.000498	0.000314	1.018933	0.00033	1.000272	0.000314
55062.26205	0.35175479	1.000477	0.000314	1.018911	0.000331	1.000251	0.000314
55062.26273	0.35177137	1.000604	0.000315	1.019043	0.000331	1.000378	0.000315
55062.26341	0.35178796	1.000198	0.000315	1.01862	0.000331	0.999972	0.000315
55062.26409	0.35180454	1.000025	0.000315	1.01844	0.000331	0.9998	0.000315
55062.26477	0.35182111	1.000051	0.000315	1.018466	0.000331	0.999826	0.000315
55062.26545	0.3518377	0.999811	0.000315	1.018217	0.000332	0.999586	0.000315
55062.26613	0.35185428	1.000675	0.000316	1.019114	0.000332	1.000449	0.000315
55062.26681	0.35187086	1.000233	0.000316	1.018654	0.000332	1.000008	0.000316
55062.26749	0.35188744	1.000282	0.000316	1.018704	0.000332	1.000057	0.000316
55062.26818	0.35190402	1.000331	0.000316	1.018755	0.000332	1.000106	0.000316
55062.26886	0.3519206	0.999912	0.000316	1.018319	0.000332	0.999687	0.000316
55062.26954	0.35193719	1.000367	0.000316	1.018791	0.000333	1.000142	0.000316
55062.27022	0.35195377	1.000882	0.000317	1.019325	0.000333	1.000657	0.000316
55062.2709	0.35197035	1.000744	0.000312	1.019181	0.000328	1.000519	0.000312
55062.27158	0.35198693	0.9998	0.000318	1.018199	0.000334	0.999575	0.000318
55062.27226	0.35200351	1.00032	0.000318	1.018739	0.000334	1.000095	0.000318
55062.27294	0.35202009	0.999941	0.000318	1.018345	0.000334	0.999716	0.000318
55062.27362	0.35203667	1.000359	0.000318	1.018778	0.000334	1.000134	0.000318
55062.27431	0.35205325	1.000485	0.000318	1.018907	0.000334	1.00026	0.000317
55062.27499	0.35206984	1.00001	0.000317	1.018414	0.000334	0.999785	0.000317
55062.27567	0.35208641	0.999921	0.000317	1.01832	0.000333	0.999696	0.000317
55062.27635	0.352103	1.000521	0.000317	1.018943	0.000333	1.000296	0.000317
55062.27703	0.35211958	1.000288	0.000317	1.018699	0.000333	1.000063	0.000317
55062.27771	0.35213616	0.999953	0.000317	1.01835	0.000333	0.999728	0.000317
55062.27839	0.35215274	0.999795	0.000317	1.018186	0.000333	0.999571	0.000317
55062.27907	0.35216932	1.00059	0.000317	1.019011	0.000333	1.000365	0.000317
55062.27975	0.35218591	1.000261	0.000317	1.018667	0.000333	1.000036	0.000317
55062.28044	0.35220249	0.999986	0.000317	1.018381	0.000333	0.999761	0.000317
55062.28112	0.35221906	1.000294	0.000317	1.0187	0.000333	1.000069	0.000316
55062.2818	0.35223565	1.000333	0.000316	1.018741	0.000332	1.000108	0.000316
55062.28248	0.35225223	1.000202	0.000316	1.018603	0.000332	0.999977	0.000316
55062.28316	0.35226881	1.000625	0.000316	1.019042	0.000332	1.0004	0.000316
55062.28384	0.35228539	1.000903	0.000316	1.01933	0.000332	1.000678	0.000316
55062.28452	0.35230197	1.000291	0.000316	1.018694	0.000332	1.000067	0.000316
55062.2852	0.35231855	0.999941	0.000316	1.018329	0.000332	0.999716	0.000316
55062.28588	0.35233514	1.000406	0.000316	1.018812	0.000332	1.000182	0.000316
55062.28657	0.35235172	0.999509	0.000316	1.01788	0.000332	0.999285	0.000316
55062.28725	0.3523683	1.000281	0.000316	1.018682	0.000332	1.000057	0.000316
55062.28793	0.35238488	1.000587	0.000316	1.019	0.000332	1.000363	0.000316
55062.28861	0.35240146	1.000123	0.000316	1.018517	0.000332	0.999899	0.000315
55062.28929	0.35241804	1.000913	0.000315	1.019338	0.000331	1.000689	0.000315
55062.28997	0.35243462	0.999833	0.000315	1.018216	0.000331	0.999609	0.000315
55062.29065	0.3524512	1.000414	0.000315	1.01882	0.000331	1.00019	0.000315
55062.29133	0.35246779	1.000002	0.000315	1.018391	0.000331	0.999778	0.000315
55062.29201	0.35248436	1.000611	0.000315	1.019024	0.000331	1.000387	0.000315
55062.2927	0.35250095	1.000204	0.000315	1.018602	0.000331	0.99998	0.000315
55062.29338	0.35251753	1.000299	0.000315	1.018701	0.000331	1.000075	0.000315
55062.29406	0.35253411	1.000007	0.000315	1.018398	0.000331	0.999783	0.000315
55062.29474	0.35255069	0.99997	0.000315	1.01836	0.000331	0.999746	0.000315
55062.29542	0.35256727	1.000041	0.000315	1.018434	0.000331	0.999817	0.000315
55062.2961	0.35258385	0.999866	0.000315	1.018253	0.000331	0.999642	0.000315
55062.29678	0.35260043	1.000384	0.000315	1.018792	0.000331	1.00016	0.000315
55062.29746	0.35261701	1.00002	0.000315	1.018414	0.000331	0.999796	0.000315
55062.29814	0.35263359	1.000161	0.000315	1.018562	0.000331	0.999937	0.000315
55062.29883	0.35265018	1.000144	0.000315	1.018545	0.000331	0.99992	0.000314
55062.29951	0.35266676	1.000319	0.000314	1.018727	0.000331	1.000095	0.000314
55062.30019	0.35268334	0.999912	0.000314	1.018305	0.000331	0.999689	0.000314
55062.30087	0.35269992	1.00094	0.000314	1.019374	0.000331	1.000716	0.000314
55062.30155	0.3527165	0.999968	0.000314	1.018365	0.000331	0.999744	0.000314
55062.30223	0.35273308	0.999923	0.000314	1.018319	0.000331	0.9997	0.000314
55062.30291	0.35274966	1.000565	0.000314	1.018987	0.000331	1.000341	0.000314
55062.30359	0.35276625	1.000147	0.000314	1.018554	0.000331	0.999924	0.000314
55062.30427	0.35278283	1.000471	0.000314	1.018891	0.00033	1.000247	0.000314
55062.30496	0.35279941	1.000475	0.000314	1.018896	0.000331	1.000252	0.000314
55062.30564	0.35281599	1.000778	0.000314	1.019211	0.000331	1.000554	0.000314
55062.30632	0.35283257	1.000184	0.000314	1.018595	0.000331	0.999961	0.000314
55062.307	0.35284915	1.000468	0.000314	1.018891	0.000331	1.000245	0.000314
55062.30768	0.35286573	1.000515	0.000314	1.018941	0.000331	1.000292	0.000314
55062.30836	0.35288231	1.000294	0.000314	1.018712	0.000331	1.000071	0.000314
55062.30904	0.35289889	1.000282	0.000314	1.0187	0.000331	1.000059	0.000314
55062.30972	0.35291548	0.999934	0.000314	1.018339	0.000331	0.999711	0.000314
55062.3104	0.35293206	1.000162	0.000314	1.018577	0.000331	0.999939	0.000314
55062.31109	0.35294864	0.999366	0.000314	1.017751	0.000331	0.999143	0.000314
55062.31177	0.35296522	1.000496	0.000314	1.018925	0.000331	1.000273	0.000314
55062.31245	0.3529818	1.000242	0.000314	1.018662	0.000331	1.000019	0.000314
